row_index,video_uri,brand_name,feature_id,detected
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,a_dynamic_start,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,a_quick_pacing,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,a_quick_pacing_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,a_supers,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,a_supers_with_audio,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_brand_mention_speech,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_brand_mention_speech_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_brand_visuals,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_brand_visuals_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_mention_speech,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_mention_speech_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_mention_text,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_mention_text_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_visuals,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,b_product_visuals_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,c_overall_pacing,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,c_presence_of_people,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,c_presence_of_people_1st_5_secs,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,c_visible_face,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,c_visible_face_close_up,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,d_audio_speech_early_1st_5_secs,true
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,d_call_to_action_speech,false
1,sample_videos/google/videos/Youtube_sWaCTG60wPA_Never_run_out_of_the_food_they_love_Chewy.mp4,Chewy,d_call_to_action_text,false
